source_file,source_sheet,source_row_excel,source_column_excel,year,month,frequency,geography_level,region_name,region_source_code,product_name_raw,okpd2_raw,raw_value,value_numeric,value_status,price_timing,unit_raw
cena_sx_07-2026.xlsx,6.1,2657,K,2025,9.0,monthly,subject,Мурманская область,,Олени северные,01.49.19.110,...,,confidential,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2657,L,2025,10.0,monthly,subject,Мурманская область,,Олени северные,01.49.19.110,-,,unavailable,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2657,M,2025,11.0,monthly,subject,Мурманская область,,Олени северные,01.49.19.110,-,,unavailable,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2657,N,2025,12.0,monthly,subject,Мурманская область,,Олени северные,01.49.19.110,-,,unavailable,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2658,C,2025,1.0,monthly,federal_district,Уральский федеральный округ,,Олени северные,01.49.19.110,242013.29,242013.29,observed,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2658,D,2025,2.0,monthly,federal_district,Уральский федеральный округ,,Олени северные,01.49.19.110,212376.81,212376.81,observed,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2658,E,2025,3.0,monthly,federal_district,Уральский федеральный округ,,Олени северные,01.49.19.110,279659.45,279659.45,observed,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2658,F,2025,4.0,monthly,federal_district,Уральский федеральный округ,,Олени северные,01.49.19.110,...,,confidential,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2658,G,2025,5.0,monthly,federal_district,Уральский федеральный округ,,Олени северные,01.49.19.110,234457.37,234457.37,observed,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2658,H,2025,6.0,monthly,federal_district,Уральский федеральный округ,,Олени северные,01.49.19.110,...,,confidential,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2658,I,2025,7.0,monthly,federal_district,Уральский федеральный округ,,Олени северные,01.49.19.110,...,,confidential,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2658,J,2025,8.0,monthly,federal_district,Уральский федеральный округ,,Олени северные,01.49.19.110,...,,confidential,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2658,K,2025,9.0,monthly,federal_district,Уральский федеральный округ,,Олени северные,01.49.19.110,...,,confidential,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2658,L,2025,10.0,monthly,federal_district,Уральский федеральный округ,,Олени северные,01.49.19.110,...,,confidential,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2658,M,2025,11.0,monthly,federal_district,Уральский федеральный округ,,Олени северные,01.49.19.110,...,,confidential,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2658,N,2025,12.0,monthly,federal_district,Уральский федеральный округ,,Олени северные,01.49.19.110,...,,confidential,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2659,C,2025,1.0,monthly,subject,Тюменская область,,Олени северные,01.49.19.110,242013.29,242013.29,observed,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2659,D,2025,2.0,monthly,subject,Тюменская область,,Олени северные,01.49.19.110,212376.81,212376.81,observed,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2659,E,2025,3.0,monthly,subject,Тюменская область,,Олени северные,01.49.19.110,279659.45,279659.45,observed,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2659,F,2025,4.0,monthly,subject,Тюменская область,,Олени северные,01.49.19.110,248736.85,248736.85,observed,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2659,G,2025,5.0,monthly,subject,Тюменская область,,Олени северные,01.49.19.110,234457.37,234457.37,observed,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2659,H,2025,6.0,monthly,subject,Тюменская область,,Олени северные,01.49.19.110,235670.25,235670.25,observed,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2659,I,2025,7.0,monthly,subject,Тюменская область,,Олени северные,01.49.19.110,...,,confidential,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2659,J,2025,8.0,monthly,subject,Тюменская область,,Олени северные,01.49.19.110,...,,confidential,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2659,K,2025,9.0,monthly,subject,Тюменская область,,Олени северные,01.49.19.110,...,,confidential,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2659,L,2025,10.0,monthly,subject,Тюменская область,,Олени северные,01.49.19.110,...,,confidential,end_of_period,RUB/ton
