rep_id,gamma_hat,lambda_hat,gamma_naive_se,f_stat_classical,f_stat_cluster,n_clusters,penalized,bootstrap_se,bootstrap_ci_low,bootstrap_ci_high,bootstrap_covered,bootstrap_successes
0,0.4850465520903185,0.41688641141040983,0.03556914196659025,38048.97358230276,36869.47686571733,32,False,,,,,0
1,0.477622790222859,0.3461846583850824,0.02689548557722057,38554.94595612273,40190.315627907716,32,False,,,,,0
2,0.5276432586791091,0.2808367139289529,0.029499073109347636,37307.731512015314,40406.95590110519,32,False,,,,,0
3,0.5122332114592858,0.34935198575203763,0.025254959588197002,38267.48078021028,23663.87136970758,32,False,,,,,0
4,0.45641879299449095,0.3962896032015229,0.03068007601999183,37510.29708807926,26989.818730610943,32,False,,,,,0
5,0.4755235682201428,0.3422015581937702,0.029697515035114353,37740.177695279905,58246.921425384244,32,False,,,,,0
6,0.4578013725992042,0.39027571111049736,0.026531702590084926,37225.300385138966,40949.36870843819,32,False,,,,,0
7,0.5132422740297305,0.34829859568938926,0.019069398194199165,37389.90160926039,32647.352891975417,32,False,,,,,0
8,0.48982689128131984,0.33396628139606704,0.02259541091432203,38165.62988503423,48088.082501335564,32,False,,,,,0
9,0.47354461423108457,0.40447973380712976,0.018658316318044467,38515.85748969396,65477.77727389623,32,False,,,,,0
10,0.5479540011023186,0.28456180948910514,0.02219500870327733,37803.27150513955,76692.1568317968,32,False,,,,,0
11,0.4532923326622398,0.37322556718257816,0.026018087270167984,37058.05605811402,75197.2945264999,32,False,,,,,0
12,0.46517686657321,0.39846132764712205,0.021031107240234093,36990.034336532335,52228.57415087055,32,False,,,,,0
13,0.5450471654293101,0.258854785860157,0.028044376157325253,37935.05802820089,34375.58887347392,32,False,,,,,0
14,0.5368474207636845,0.2846620031508893,0.028225773089372165,37861.359149506054,38360.78365903446,32,False,,,,,0
15,0.48862672476547736,0.3805737193053727,0.027004650225671275,38654.17505744719,98102.71859849275,32,False,,,,,0
16,0.467368648388159,0.3853852641652626,0.02542465103334334,38441.863455739775,53018.74869276877,32,False,,,,,0
17,0.4962860646339678,0.3337883317037832,0.01673125157297931,38033.595326706716,56807.75596105309,32,False,,,,,0
18,0.4702708966418878,0.38324392910908905,0.026202049363368687,37638.16823392307,36849.07996723562,32,False,,,,,0
19,0.49008675633464005,0.26472929303922554,0.019949964287529525,37753.34095287592,39535.791696495326,32,False,,,,,0
20,0.4661001923592171,0.41986743010571265,0.0341505188379321,37532.86290617408,53803.451285972886,32,False,,,,,0
21,0.5178998052576524,0.3050977998166979,0.025180715268191524,37854.544356284816,41086.04036428222,32,False,,,,,0
22,0.5126177744706069,0.30949029534333555,0.024649937711958128,37603.08508405449,37903.1357848576,32,False,,,,,0
23,0.48350892931234035,0.35478548672901805,0.024591600391157327,38193.581497981955,52651.41603940039,32,False,,,,,0
24,0.4179897107774367,0.3898289816235815,0.027560109976540004,37643.130130674974,55053.901015200405,32,False,,,,,0
25,0.4946385741755184,0.35662676869228555,0.01917943102389421,38052.61140297102,45147.187313614566,32,False,,,,,0
26,0.5013074764580547,0.33160445944821215,0.029782108819129977,38479.32757969303,39756.70491849255,32,False,,,,,0
27,0.4771935825149829,0.3890759667004283,0.030995134152106252,37906.21054256258,43408.71301061989,32,False,,,,,0
28,0.4838739018819261,0.3675809722865721,0.021171958826355655,37592.80378870275,55902.988409096775,32,False,,,,,0
29,0.48372324326235927,0.36271627571532933,0.02860774437714727,37053.45427838194,27990.30616972425,32,False,,,,,0
30,0.47710579113758506,0.39246725330201526,0.017622470297837405,38096.908277862574,46447.14090268552,32,False,,,,,0
31,0.5528808485581388,0.3036511826114597,0.037176314447357126,38500.98494113496,70834.81732609826,32,False,,,,,0
32,0.48057278805636966,0.3106233343926003,0.03482755850757906,37799.66475882369,37284.05492143131,32,False,,,,,0
33,0.459159095673383,0.34306356220062484,0.022018958597455437,38249.70025156339,65934.84530167773,32,False,,,,,0
34,0.513094997259116,0.2765274541441393,0.028463707342813407,37151.21398423776,56455.42212051847,32,False,,,,,0
35,0.4760834007458975,0.3670700368388471,0.023171574681482905,38266.913593902784,42388.88128654963,32,False,,,,,0
36,0.49369583436523423,0.38750523330488207,0.04097676655523562,37858.0385338176,70368.67604938723,32,False,,,,,0
37,0.4999630494300116,0.3222957235942927,0.021205417151385717,38411.37136618436,30332.508193562935,32,False,,,,,0
38,0.48238310494990305,0.328240693708728,0.028239218053102425,37564.22477081157,18668.33114771766,32,False,,,,,0
39,0.5087727222959277,0.3762170578719207,0.026211352148512192,37438.101230894354,87561.28575694212,32,False,,,,,0
40,0.4819130556843863,0.3799488629615875,0.02412402222008997,38275.52657957702,55941.549518908214,32,False,,,,,0
41,0.48132412790331086,0.31891139762230225,0.022602948086169673,37549.25722896034,61635.1638850608,32,False,,,,,0
42,0.48780523075946575,0.3675550297117368,0.02892581349431114,37313.153024400424,62378.54755141773,32,False,,,,,0
43,0.476276532425654,0.4114440458311894,0.02324261087472619,39028.50193061033,34164.781246527346,32,False,,,,,0
44,0.46397880791934304,0.3880639137589769,0.02350341591271761,38141.10921983294,31095.603051823746,32,False,,,,,0
45,0.5188498321442605,0.3277088351882652,0.028393501141260973,37561.33932628149,78385.8799890975,32,False,,,,,0
46,0.5247648355704599,0.34821012910460647,0.026626043452528114,38782.278480459856,57488.70589102741,32,False,,,,,0
47,0.4953712068919952,0.3283438398879834,0.024673210387553112,37826.00077038566,48993.287407934324,32,False,,,,,0
48,0.4725915162489174,0.3986071394872326,0.02399094916340111,37904.54171413014,35287.16261678067,32,False,,,,,0
49,0.5226645973627857,0.3206425220899371,0.029350220277612707,38134.65005212881,60237.75356678641,32,False,,,,,0
50,0.47408122441503303,0.3673392680534294,0.022386744947974796,38256.76243819299,29949.552610731233,32,False,,,,,0
51,0.5209847596707842,0.2540523554422816,0.027585187949153364,38023.214281501474,66940.58446412504,32,False,,,,,0
52,0.4816964672045116,0.33702630958868984,0.02161146676613788,38061.14117150476,38162.918204516434,32,False,,,,,0
53,0.4627168483754737,0.33165190017446516,0.02561360247326111,37675.8409920455,43278.51381287163,32,False,,,,,0
54,0.4416017774668488,0.358597294552189,0.033402934377047104,38206.64172883741,32112.335080258264,32,False,,,,,0
55,0.5037401536741892,0.363649299866746,0.021541493468227528,38595.11070651022,56569.75982353348,32,False,,,,,0
56,0.4646597025419266,0.3391059835823466,0.02493278797661876,37911.23615435101,49142.11898717721,32,False,,,,,0
57,0.5620539886265125,0.25730909518869505,0.03718991360087208,37942.560670820785,51767.79623558611,32,False,,,,,0
58,0.5295128566516455,0.29852748516823363,0.026971247314403705,37761.38289305875,63698.02392121468,32,False,,,,,0
59,0.526517658090211,0.3254052329372663,0.018430883782184243,37954.13737884865,54196.22518455084,32,False,,,,,0
60,0.4742811773601953,0.3641954129651824,0.028642322257042382,37970.89556955436,38260.97429662206,32,False,,,,,0
61,0.5116547267919076,0.3367678941985176,0.030077640320514805,37608.99675979205,68012.35897973305,32,False,,,,,0
62,0.48351186725347833,0.3350779065433806,0.02431601673179869,37816.89754113768,45952.38275010344,32,False,,,,,0
63,0.5093857752907597,0.35934087887102206,0.024823877372343962,38559.54552632064,41946.797457048335,32,False,,,,,0
64,0.470828051184549,0.3647359905445405,0.02956631372190803,38452.96852066052,24741.838237136755,32,False,,,,,0
65,0.5259356772696667,0.36011168842100855,0.01945069436316437,38365.06814384627,40391.5692719352,32,False,,,,,0
66,0.5101477779401095,0.3075586346022521,0.022822597672890185,37829.13716707132,135302.64799937617,32,False,,,,,0
67,0.4983474907380639,0.3662487322908668,0.02339245491392898,38209.01732003541,38012.4117111808,32,False,,,,,0
68,0.43542102069490846,0.38481195692442993,0.0328043170991673,36631.38251845797,25212.918135266835,32,False,,,,,0
69,0.48409764015773826,0.34742717983177346,0.03664288342956398,37366.44767507746,45179.892989662876,32,False,,,,,0
70,0.5047370517629488,0.376339984270566,0.018296406492517802,37959.68975105862,56337.84715184,32,False,,,,,0
71,0.41319563555613564,0.43987419173305337,0.028052073456375035,38676.614717702825,28950.1931254852,32,False,,,,,0
72,0.5162214457694162,0.34689662041167135,0.030689613522853036,37560.37514802291,110716.26724458305,32,False,,,,,0
73,0.5049691336863393,0.332508261123538,0.02257426284578217,38825.1705363629,43004.196189148504,32,False,,,,,0
74,0.5137251356119726,0.33392588840007903,0.024875968751726325,38022.71297065282,40025.65401512932,32,False,,,,,0
75,0.49607899244009535,0.33426662037827387,0.02718494372185061,37927.722845599405,110653.4086084495,32,False,,,,,0
76,0.4881627094868616,0.3467596783440582,0.038520326868219615,38450.08264517477,54971.192980710206,32,False,,,,,0
77,0.5150604520342729,0.3594905449367337,0.024730023088950653,38745.9896427951,74882.36167723635,32,False,,,,,0
78,0.4557692240857861,0.4421125230116382,0.03035423843751596,37354.22606741856,34120.9926545249,32,False,,,,,0
79,0.4943638021040144,0.3745455108253967,0.03214544620816074,38485.320702474884,69647.87391176405,32,False,,,,,0
80,0.5169203998139459,0.3129747463420115,0.021750046385013648,38607.49172083241,42264.7798916343,32,False,,,,,0
81,0.4777327070013849,0.3839154409432712,0.021853460185823976,37818.11766590469,51519.474307135635,32,False,,,,,0
82,0.4662060136839454,0.36621653157055833,0.024945114056654737,38460.40543482146,63944.96110461773,32,False,,,,,0
83,0.4955414189000797,0.33659300283440347,0.03076575641402303,38440.634445863754,31053.595588552722,32,False,,,,,0
84,0.4763482971723262,0.31988369828360597,0.02726238654940361,38011.81307600765,39725.32734606047,32,False,,,,,0
85,0.504157367345419,0.3244069163307272,0.02740109161274829,37820.18950798711,79634.37240517554,32,False,,,,,0
86,0.48164849073942756,0.35029186346135216,0.028159492386251074,37443.98710843007,62009.79429988861,32,False,,,,,0
87,0.4562501290865696,0.4212574873464637,0.025267373163543445,38372.99168857259,43642.64401881229,32,False,,,,,0
88,0.48822612481661626,0.31075807230582714,0.022787317580862946,38204.93282260954,20408.97641727877,32,False,,,,,0
89,0.45705332971956514,0.3431735179625692,0.02769169909167786,37609.38733216394,40851.61974984068,32,False,,,,,0
90,0.477493075130155,0.38688973919874736,0.03387834519249967,37448.21453130982,40967.29095987477,32,False,,,,,0
91,0.4648282588934278,0.3472126912173231,0.027555565437524323,37354.73032079979,38679.879694060466,32,False,,,,,0
92,0.5043698658065414,0.2781287662962917,0.022319238528911052,37373.68882365626,36085.241889950375,32,False,,,,,0
93,0.5046027803683408,0.2980981509221041,0.02272470657376139,38636.474445723296,59002.90553333742,32,False,,,,,0
94,0.5329828559109909,0.3222899681887271,0.02320510722552536,37038.68428977,54439.143163317574,32,False,,,,,0
95,0.5179521591859295,0.3313535376815725,0.025421321568413875,38101.32771720935,43971.46456882395,32,False,,,,,0
96,0.475861520730953,0.3848678822695996,0.025006581742193494,38087.81305889973,37995.788763132674,32,False,,,,,0
97,0.519627282565142,0.29385244683184153,0.025656366679857635,37451.70337801374,28332.201042051016,32,False,,,,,0
98,0.5043357908789253,0.3457881543600396,0.028450304517118313,37905.12633311303,26374.166865130537,32,False,,,,,0
99,0.49395193094443834,0.33615224599367866,0.03347288762886798,37405.87492058222,25785.38514561417,32,False,,,,,0
